delta_x,delta_x_est,delta_x_nrs,delta_y,delta_y_est,samplesize,noteworthy,recursion,features,
9.765625E-4,0.0,0.015873015873015872,0.0013521408897421451,0.0019968253150108536,62,0.8333333333333334,4,6,
0.0,0.0,0.0125,0.0,0.0012969631228092102,79,1.0,4,5,
0.0,9.765625E-4,0.01639344262295082,0.0,0.0012394032691863122,60,1.0,3,5,
0.0,0.0,0.012987012987012988,0.0,0.0013468705899993276,76,1.0,4,5,
9.765625E-4,0.001953125,0.012345679012345678,0.0013521408897421451,0.0017294999702196963,80,1.0,4,4,
0.0,9.765625E-4,0.012345679012345678,0.0,0.0014900271226278314,80,1.0,4,5,
0.0,0.0,0.02127659574468085,0.0,0.0019545203659588482,46,1.0,3,6,
0.0068359375,0.001953125,0.01639344262295082,0.008947500208665415,0.0020217493478425328,60,1.0,3,4,
9.765625E-4,0.0,0.012658227848101266,0.0013521408897421451,0.0012313974069338399,78,0.8,4,5,
9.765625E-4,0.0,0.0125,0.0013521408897421451,0.0012313974069338399,79,0.8,4,5,
0.0,9.765625E-4,0.01639344262295082,0.0,0.0014733859903506166,60,1.0,3,5,
0.0,0.0,0.012987012987012988,0.0,0.0013468705899993276,76,1.0,4,5,
0.001953125,0.0,0.015151515151515152,0.003488857357484353,0.0023290923114229626,65,0.8333333333333334,4,6,
0.0029296875,0.001953125,0.024390243902439025,0.0048910775394391225,0.0012278160022379993,40,1.0,2,4,
0.0,0.0,0.021739130434782608,0.0,0.006248635210723521,45,1.0,3,7,
0.0,9.765625E-4,0.012345679012345678,0.0,0.0017692544381864548,80,1.0,4,5,
0.0,0.001953125,0.01639344262295082,0.0,0.0023914271172499526,60,1.0,3,4,
0.0,0.0,0.012658227848101266,0.0,0.0012969631228092102,78,1.0,4,5,
0.0,0.0,0.022727272727272728,0.0,0.006248635210723521,43,1.0,3,7,
0.001953125,0.001953125,0.01639344262295082,0.003488857357484353,0.0014571334010071392,60,1.0,3,4,
0.0,9.765625E-4,0.01639344262295082,0.0,0.0013776087617459094,60,1.0,3,4,
9.765625E-4,0.0,0.015873015873015872,0.0013521408897421451,0.004353213006062635,62,0.7142857142857143,4,7,
0.0,0.0,0.015625,0.0,0.0019545203659588482,63,1.0,4,6,
0.0,0.0,0.012345679012345678,0.0,0.0015422879321163874,80,1.0,4,5,
0.0,0.001953125,0.01639344262295082,0.0,0.002345303397483257,60,1.0,3,4,
0.0,0.0,0.012658227848101266,0.0,0.0012969631228092102,78,1.0,4,5,
0.0,0.0,0.01282051282051282,0.0,0.0011663346099035372,77,1.0,4,5,
0.001953125,0.0,0.01639344262295082,0.003488857357484353,0.0015603799802431783,60,0.8,3,5,
0.0,0.0,0.021739130434782608,0.0,0.003501072098634758,45,1.0,3,7,
0.0,9.765625E-4,0.012345679012345678,0.0,0.001264218091304458,80,1.0,4,4,
0.0,0.001953125,0.01639344262295082,0.0,0.0020574754942962142,60,1.0,3,4,
9.765625E-4,0.0,0.012345679012345678,0.0013521408897421451,0.002002085605266941,80,0.6666666666666666,5,6,
0.0,9.765625E-4,0.01639344262295082,0.0,0.0015185923067280668,60,1.0,3,5,
0.01171875,0.0,0.015873015873015872,0.011084216676407624,0.0018033182757515318,62,0.6666666666666666,4,6,
9.765625E-4,0.0,0.02,0.0013521408897421451,0.003072507057784451,49,0.6666666666666666,3,6,
0.001953125,9.765625E-4,0.01639344262295082,0.003488857357484353,0.0015603799802431783,60,0.8,3,5,
0.00390625,9.765625E-4,0.01639344262295082,0.005692346214841828,0.0015821338025243778,60,0.8,3,5,
0.0,0.0,0.01639344262295082,0.0,0.0011663346099035372,60,1.0,3,5,
0.0,9.765625E-4,0.024390243902439025,0.0,0.0017115822640422532,40,1.0,2,5,
0.0,0.0,0.015873015873015872,0.0,0.0019545203659588482,62,1.0,4,6,
0.0,0.0,0.012658227848101266,0.0,0.0012969631228092102,78,1.0,4,5,
9.765625E-4,0.0,0.0125,0.0013521408897421451,0.0012313974069338399,79,0.8,4,5,
0.0,9.765625E-4,0.012345679012345678,0.0,0.0015203876862919746,80,1.0,4,4,
0.0,0.0,0.01639344262295082,0.0,0.003501072098634758,60,1.0,4,7,
0.0,0.0,0.017241379310344827,0.0,0.001692910752542137,57,1.0,3,5,
9.765625E-4,0.0,0.022727272727272728,0.0013521408897421451,0.006037634588937664,43,0.5714285714285714,3,7,
0.0029296875,9.765625E-4,0.012345679012345678,0.0048910775394391225,0.0010107188197174405,80,1.0,4,4,
0.001953125,0.001953125,0.01639344262295082,0.003488857357484353,0.0013242385628261643,60,1.0,3,4,
0.001953125,9.765625E-4,0.024390243902439025,0.003488857357484353,0.001231320510944452,40,0.8,2,5,
0.005859375,0.0,0.0196078431372549,0.007361655955262505,0.0015040745626471522,50,0.8333333333333334,3,6,
0.0,0.0,0.015384615384615385,0.0,0.0019545203659588482,64,1.0,4,6,
0.0,0.001953125,0.01639344262295082,0.0,0.00233762922900541,60,1.0,3,4,
0.0,0.0,0.020833333333333332,0.0,0.002435957505808832,47,1.0,3,6,
0.001953125,9.765625E-4,0.01639344262295082,0.003488857357484353,0.0012155579199886542,60,0.8,3,5,
0.0,0.001953125,0.01639344262295082,0.0,0.001753416227628718,60,1.0,3,4,
0.0,0.0,0.01639344262295082,0.0,0.002742785541431267,60,1.0,4,6,
9.765625E-4,0.0,0.010638297872340425,0.0013521408897421451,0.0013997574832897257,93,0.8,5,5,
0.0,9.765625E-4,0.01639344262295082,0.0,0.0011943742707989915,60,1.0,3,4,
0.0,0.001953125,0.024390243902439025,0.0,0.003065797027492584,40,1.0,2,4,
0.0,0.001953125,0.01639344262295082,0.0,0.0014410185426654626,60,1.0,3,4,
0.0,0.0,0.018867924528301886,0.0,0.002076153342850807,52,1.0,3,6,
0.001953125,9.765625E-4,0.024390243902439025,0.003488857357484353,0.0021660512255040356,40,0.8,2,5,
9.765625E-4,0.0,0.019230769230769232,0.0013521408897421451,0.002462814273818459,51,0.8333333333333334,3,6,
0.00390625,0.001953125,0.024390243902439025,0.005692346214841828,0.0016868092781241045,40,1.0,2,4,
0.0,9.765625E-4,0.012345679012345678,0.0,0.0014711536854073912,80,1.0,4,4,
0.0,9.765625E-4,0.01639344262295082,0.0,0.0018815068779530666,60,1.0,3,5,
9.765625E-4,0.0,0.012195121951219513,0.0013521408897421451,0.002002085605266941,81,0.6666666666666666,5,6,
0.0,0.0,0.013333333333333334,0.0,0.0012969631228092102,74,1.0,4,5,
9.765625E-4,0.0,0.012195121951219513,0.0013521408897421451,0.004353213006062635,81,0.7142857142857143,5,7,
0.0,9.765625E-4,0.01639344262295082,0.0,0.0016513646052216987,60,1.0,3,5,
9.765625E-4,0.0,0.012345679012345678,0.0013521408897421451,0.0014772707726026257,80,0.8,4,5,
9.765625E-4,0.0,0.015151515151515152,0.0013521408897421451,0.002002085605266941,65,0.6666666666666666,4,6,
9.765625E-4,0.0,0.01639344262295082,0.0013521408897421451,0.0012313974069338399,60,0.8,3,5,
0.0029296875,0.001953125,0.01639344262295082,0.0048910775394391225,0.0018074261977541572,60,1.0,3,4,
9.765625E-4,0.001953125,0.024390243902439025,0.0013521408897421451,0.002006867735246578,40,1.0,2,4,
0.0,9.765625E-4,0.01639344262295082,0.0,0.0017420455135108003,60,1.0,3,4,
9.765625E-4,0.0,0.01282051282051282,0.0013521408897421451,0.0016692311335593864,77,0.8,4,5,
0.001953125,0.001953125,0.01639344262295082,0.003488857357484353,9.676845435175796E-4,60,1.0,3,4,
0.0029296875,9.765625E-4,0.01639344262295082,0.0048910775394391225,0.0013095180489694073,60,0.8,3,5,
0.0068359375,0.0,0.021739130434782608,0.008947500208665415,0.0021222621988642074,45,0.7142857142857143,3,7,
0.0,0.0,0.0196078431372549,0.0,0.0030992294027791588,50,1.0,3,6,
9.765625E-4,0.001953125,0.01639344262295082,0.0013521408897421451,0.001929562229575164,60,1.0,3,4,
0.0,9.765625E-4,0.01639344262295082,0.0,0.0016284359431108953,60,1.0,3,5,
0.0,0.0,0.01282051282051282,0.0,0.0013468705899993276,77,1.0,4,5,
0.001953125,0.001953125,0.01639344262295082,0.003488857357484353,0.0018721702174937713,60,1.0,3,4,
0.0,0.0,0.018867924528301886,0.0,0.004212406843305227,52,1.0,3,6,
9.765625E-4,0.0,0.015625,0.0013521408897421451,0.002002085605266941,63,0.6666666666666666,4,6,
9.765625E-4,9.765625E-4,0.012345679012345678,0.0013521408897421451,0.0010366264659715863,80,1.0,4,4,
9.765625E-4,0.001953125,0.01639344262295082,0.0013521408897421451,0.0010642582923776403,60,1.0,3,4,
9.765625E-4,0.0,0.012987012987012988,0.0013521408897421451,0.0014772707726026257,76,0.8,4,5,
0.0,0.0,0.013157894736842105,0.0,0.0012969631228092102,75,1.0,4,5,
0.0,9.765625E-4,0.01639344262295082,0.0,0.001542592379995025,60,1.0,3,4,
0.0,0.0,0.0125,0.0,0.0011663346099035372,79,1.0,4,5,
0.0,0.0,0.013157894736842105,0.0,0.0011663346099035372,75,1.0,4,5,
0.001953125,9.765625E-4,0.01639344262295082,0.003488857357484353,0.001343499376636027,60,0.8,3,5,
0.0,0.0,0.016129032258064516,0.0,0.0019545203659588482,61,1.0,4,6,
0.001953125,9.765625E-4,0.01639344262295082,0.003488857357484353,0.0017455642255153508,60,0.8,3,5,
9.765625E-4,0.0,0.019230769230769232,0.0013521408897421451,0.0020680830306938295,51,0.6666666666666666,3,6,
0.0029296875,0.001953125,0.01639344262295082,0.0048910775394391225,0.0011421810490602421,60,1.0,3,4,
9.765625E-4,0.001953125,0.01639344262295082,0.0013521408897421451,0.0029210922926635324,60,1.0,3,4,
